0	1.7	0	1.8
1	11.4	0	1.8
2	26.7	0	1.8
3	38.4	0	1.8
4	1.7	0	11.65
5	11.4	0	11.65
6	26.7	0	11.65
7	38.4	0	11.65
8	1.7	0	19.45
9	11.4	0	19.45
10	26.7	0	19.45
11	38.4	0	19.45
12	1.7	0	27.3
13	11.4	0	27.3
14	26.7	0	27.3
15	38.4	0	27.3
16	1.7	0	35.1
17	11.4	0	35.1
18	26.7	0	35.1
19	38.4	0	35.1
20	1.7	0	42.9
21	11.4	0	42.9
22	26.7	0	42.9
23	38.4	0	42.9
24	0	2.4	1.8
25	0	13.9	1.8
26	0	25.7	1.8
27	0	39.4	1.8
28	0	2.4	11.65
29	0	13.9	11.65
30	0	25.7	11.65
31	0	39.4	11.65
32	0	2.4	19.45
33	0	13.9	19.45
34	0	25.7	19.45
35	0	39.4	19.45
36	0	2.4	27.3
37	0	13.9	27.3
38	0	25.7	27.3
39	0	39.4	27.3
40	0	2.4	35.1
41	0	13.9	35.1
42	0	25.7	35.1
43	0	39.4	35.1
44	0	2.4	42.9
45	0	13.9	42.9
46	0	25.7	42.9
47	0	39.4	42.9
48	0	0	0
49	56.5	0	0
50	40.8	0	53
51	56.5	0	60.7
52	0	56.6	0
53	0	41.2	53
