0	115	21
1	95	23
2	70	26
3	55	27
4	116	71
5	95	69
6	72	67
7	56	64
8	116	109
9	96	104
10	73	98
11	58	93
12	116	148
13	98	140
14	74	128
15	59	121
16	116	183
17	97	172
18	74	157
19	60	148
20	116	218
21	97	204
22	75	186
23	60	175
24	132	21
25	183	25
26	225	28
27	268	31
28	133	71
29	181	72
30	223	72
31	266	71
32	133	109
33	180	107
34	221	105
35	263	102
36	132	149
37	180	143
38	221	138
39	261	134
40	132	184
41	179	176
42	219	169
43	259	163
44	132	220
45	178	209
46	218	200
47	257	192
48	121	9
49	39	23
50	59	206
51	47	216
52	314	26
53	262	227
