0	145	14
1	112	15
2	69	16
3	42	17
4	144	66
5	111	63
6	70	60
7	43	57
8	144	104
9	111	100
10	71	93
11	44	88
12	143	143
13	112	135
14	71	124
15	46	118
16	142	179
17	111	170
18	71	155
19	45	146
20	140	215
21	110	203
22	71	185
23	46	176
24	162	14
25	199	19
26	230	23
27	260	28
28	160	65
29	198	65
30	229	65
31	258	65
32	160	104
33	197	101
34	227	98
35	256	95
36	159	142
37	194	135
38	225	129
39	254	124
40	157	178
41	194	168
42	224	159
43	252	151
44	157	214
45	193	200
46	223	189
47	250	178
48	153	4
49	9	12
50	42	208
51	18	219
52	290	24
53	253	211
